idx,elevation,slope,aspect,tri,ndvi_min,ndvi_median,ndvi_mean,ndvi_max,evi_min,evi_median,evi_mean,evi_max,ndwi_min,ndwi_median,ndwi_mean,ndwi_max,prec_min,prec_median,prec_mean,prec_max,prec_sum,lst_min,lst_median,lst_mean,lst_max,is_fire
14,838.0,89.99884796142578,167.47119140625,,0.06372303060712496,0.548305353183402,0.4940141042317517,0.6866310160427809,0.1840046363372936,0.27554167167287436,0.2841903444454237,0.36003717472118957,0.047066408768536426,0.11779448621553881,0.1236794879482219,0.22738457084961636,0.0,0.0,0.9272879576071714,12.526000022888184,36.16423034667969,285.66,299.56,299.1586206896552,307.06,True
15,1833.0,89.99898529052734,33.310630798339844,,-0.054692705930596094,0.618499112793058,0.5207433516551068,0.7126197417742607,-0.3628511188192883,0.26304363458281343,0.234724861050429,0.45076371704070317,0.00837424198671676,0.1527818663526641,0.1487397278062055,0.24308152580403888,0.0,0.0,0.19937110303053215,5.075732231140137,13.357863903045654,286.40000000000003,299.62,298.5756666666667,307.72,True
12,1566.0,89.99897766113281,194.3699951171875,,-0.011700844390832313,0.5445750931932345,0.47292716794252515,0.7369222955815135,-0.12333121424030495,0.2888909573919576,0.2576928145716144,0.3687472181326395,0.028825773632895298,0.10739191073919105,0.14500595590584145,0.29006050129645633,0.0,0.0,0.3520516248849722,25.57978057861328,32.03669786453247,282.84000000000003,298.53,296.2754545454545,307.84000000000003,True
13,194.0,89.97502899169922,348.6900634765625,,-0.036060810460229346,0.29182712879760375,0.24817105433808376,0.5613182063749325,-0.2626868814487258,0.25782307808033694,0.16518578787077706,0.37375445159897835,0.047748004561003386,0.1523969635779519,0.20325814560427657,0.5366568914956013,0.0,0.0,0.9321257611538502,10.687729835510254,43.80991077423096,290.78000000000003,293.95000000000005,293.5783333333333,297.14,True
10,209.0,89.9941177368164,236.3099365234375,,-0.032726927278772605,0.5728774600556616,0.4957390238673923,0.7623762376237623,-0.20770529362112616,0.34127483246466694,0.33764003802821557,0.5755145328605044,0.12250996015936255,0.2390646323816839,0.23251719568067508,0.3706180344478217,0.0,0.0,0.5686858158845168,9.674798965454102,51.75040924549103,289.86,302.38,302.1478787878788,316.32,True
11,1522.0,89.99876403808594,36.31364440917969,,0.011533826820450998,0.47604395604395605,0.417006567038008,0.5901745313510018,0.05302310857866399,0.1934020618556701,0.19442062686471306,0.3135721147248525,0.09701965757767912,0.18355891570916152,0.19202881867342989,0.32969034608378867,0.0,0.0,0.7345730105599204,12.049514770507812,66.84614396095276,285.64,290.3,290.7745454545455,296.98,True
16,0.0,0.0,,,-0.009807717124790291,0.3517099419754287,0.3372151158394089,0.6530880420499342,-0.05275579619602941,0.23758761598681247,0.21234524642720273,0.2921660098125955,0.05944204188925638,0.09433636963587697,0.1718917475367585,0.4394522089860238,0.0,0.0,0.6667180075997212,15.509905815124512,40.66979846358299,287.62,296.22,295.8195238095238,304.66,True
17,199.0,89.98946380615234,204.44395446777344,,0.2716407717261397,0.6082657988161646,0.5697113009534381,0.697714426148931,0.3585870599429115,0.4339063373830996,0.43270257290719955,0.5059252506836828,0.23086900129701687,0.24881637299787734,0.2596258189661119,0.322650840751731,0.0,0.0,0.2975537436349051,8.683388710021973,27.077390670776367,,,,,True
20,447.0,89.97152709960938,26.565052032470703,,-0.007914639151081707,0.48767967145790553,0.4106523111166117,0.5957683741648108,-0.048425281584044993,0.3040139833947188,0.25858161409778685,0.3807964696252536,0.11213754169874261,0.17535876728859184,0.1678015472988852,0.2075215224286362,0.0,0.0,0.7251785177933542,27.55678367614746,27.55678367614746,281.42,290.66,290.428,293.86,True
21,282.0,89.97152709960938,153.43495178222656,,-0.01405085613516124,0.30640892818209103,0.26384595536352395,0.4914171656686626,-0.10945670477709828,0.15186174680984763,0.1430039500046626,0.23636712749615973,-0.16630669546436286,-0.10976360166686139,-0.00018792698668987362,0.4952980760935209,0.0,0.0,0.8085158473842746,15.489914894104004,73.574942111969,293.68,304.27,303.95666666666665,316.02,True
